Timestamp,1. open,2. high,3. low,4. close,5. volume
31-05-2002,24.29,25.98,22.14,23.3,106717100
30-04-2002,24.7,26.17,23,24.27,114693500
28-03-2002,21.93,25.3,21.82,23.67,94974700
28-02-2002,24.96,25.98,20.94,21.7,139954000
31-01-2002,22.05,24.73,20.26,24.72,152060300
31-12-2001,21.06,24.03,20.09,21.9,82675700
30-11-2001,17.65,21.55,17.25,21.3,95888300
31-10-2001,15.49,19.42,14.83,17.56,134718700
28-09-2001,18.5,19.08,14.68,15.51,98777200
31-08-2001,19.01,19.9,17.28,18.55,91595700
31-07-2001,23.64,25.22,17.85,18.79,154555400
29-06-2001,20.13,25.1,19.35,23.25,136397600
31-05-2001,25.41,26.7,19.3,19.95,133364900
30-04-2001,22.09,27.12,18.75,25.49,199267700
30-03-2001,17.81,23.75,17.19,22.07,192840400
28-02-2001,20.69,21.94,18,18.25,125424400
31-01-2001,14.88,22.5,14.44,21.62,244811800
29-12-2000,17,17.5,13.63,14.88,158195900
30-11-2000,19.44,23,16.12,16.5,151578100
31-10-2000,26.69,26.75,17.5,19.56,391174800
29-09-2000,61.31,64.12,25.37,25.75,259230900
31-08-2000,50.31,61.5,44.25,60.94,100644400
31-07-2000,52.13,60.63,46.88,50.81,102620900
30-06-2000,81.75,103.94,50.31,52.38,89106200
31-05-2000,124.87,126.25,81.75,84,87569200
28-04-2000,135.5,139.5,104.87,124.06,77342900
31-03-2000,118.56,150.38,114,135.81,77663900
29-02-2000,104,119.94,97,114.62,65355200
31-01-2000,104.87,121.5,86.5,103.75,112099800
31-12-1999,101,118,91.06,102.81,84091200
